"","BIRTH","COUNTRY","GENDER","ObsValue","RATE","TIME_FORMAT","Time"
"97","FB","AUS","WMN","5.2","U_RATE","P1Y","2008"
"98","FB","AUS","WMN","6.8","U_RATE","P1Y","2009"
"99","FB","AUS","WMN","6.1","U_RATE","P1Y","2010"
"100","FB","AUS","WMN","6","U_RATE","P1Y","2011"
"101","FB","AUS","WMN","6","U_RATE","P1Y","2012"
"102","FB","AUS","WMN","6.1","U_RATE","P1Y","2013"
"103","FB","AUS","WMN","6.6","U_RATE","P1Y","2014"
"104","FB","AUS","WMN","6.8","U_RATE","P1Y","2015"
"105","FB","AUS","WMN","6.7","U_RATE","P1Y","2016"
"106","FB","AUS","WMN","6.9","U_RATE","P1Y","2017"
"107","FB","AUS","WMN","6.5","U_RATE","P1Y","2018"
"108","FB","AUS","WMN","6.2","U_RATE","P1Y","2019"
"109","FB","AUS","WMN","7.7","U_RATE","P1Y","2020"
"110","FB","AUS","WMN","5.8","U_RATE","P1Y","2021"
"111","FB","AUS","WMN","58.7","P_RATE","P1Y","2000"
"112","FB","AUS","WMN","58.4","P_RATE","P1Y","2001"
"113","FB","AUS","WMN","59.1","P_RATE","P1Y","2002"
"114","FB","AUS","WMN","59.6","P_RATE","P1Y","2003"
"115","FB","AUS","WMN","60.2","P_RATE","P1Y","2004"
"116","FB","AUS","WMN","61.8","P_RATE","P1Y","2005"
"117","FB","AUS","WMN","62","P_RATE","P1Y","2006"
"118","FB","AUS","WMN","63.1","P_RATE","P1Y","2007"
"119","FB","AUS","WMN","64.6","P_RATE","P1Y","2008"
"120","FB","AUS","WMN","64.5","P_RATE","P1Y","2009"
"121","FB","AUS","WMN","64.7","P_RATE","P1Y","2010"
"122","FB","AUS","WMN","65.9","P_RATE","P1Y","2011"
"123","FB","AUS","WMN","65.5","P_RATE","P1Y","2012"
"124","FB","AUS","WMN","66","P_RATE","P1Y","2013"
"125","FB","AUS","WMN","66.1","P_RATE","P1Y","2014"
"126","FB","AUS","WMN","65.9","P_RATE","P1Y","2015"
"127","FB","AUS","WMN","66.5","P_RATE","P1Y","2016"
"128","FB","AUS","WMN","67.3","P_RATE","P1Y","2017"
"129","FB","AUS","WMN","68.8","P_RATE","P1Y","2018"
"130","FB","AUS","WMN","69.7","P_RATE","P1Y","2019"
"131","FB","AUS","WMN","69.3","P_RATE","P1Y","2020"
